rollout/episode_reward,rollout/rew_surface_coverage_2d,time/total_timesteps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,rollout/episode_length,time/iterations,time/fps,time/training,train/n_updates,train/policy_gradient_loss,train/clip_range_vf,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate
0.524,0.56,1294336,-0.069,0.018,0.509,18.67,79,245,3.822688341140747,390,-0.014687706672862828,0.2,4.927534103393555,6.054398729250981,0.4341303228021978,0.2,0.09938368,-3.3888546438007565,0.6160244643688202,0.0001
0.542,0.586,1310720,-0.063,0.02,0.544,19.371,80,249,6.757042646408081,395,-0.03802135478617856,0.2,3.400768756866455,6.1635615706443785,0.4814697265625,0.2,0.12133627,-3.368420013412833,0.6105568408966064,0.0001
0.523,0.548,1327104,-0.068,0.019,0.499,18.707,81,247,6.756472826004028,400,-0.03965788049972616,0.2,4.022947788238525,6.318675252422691,0.48804931640625,0.2,0.1233532,-3.3837929889559746,0.5866254568099976,0.0001
0.559,0.577,1343488,-0.061,0.021,0.537,20.371,82,248,1.4072208404541016,405,0.02745374282752511,0.2,4.677862167358398,5.909208863528807,0.3589668843283582,0.2,0.24383338,-3.3722843750199276,0.6203671395778656,0.0001
0.57,0.585,1359872,-0.06,0.02,0.544,19.92,83,249,6.693696737289429,410,-0.04318150582330418,0.2,3.3896679878234863,5.805578145384788,0.47576904296875,0.2,0.1299425,-3.428276152908802,0.6341127157211304,0.0001
0.572,0.61,1376256,-0.063,0.023,0.569,19.464,84,249,6.747263669967651,415,-0.04089410409651464,0.2,2.5650625228881836,6.263141394406557,0.4830810546875,0.2,0.12750667,-3.3782473035156726,0.5954377055168152,0.0001
0.557,0.62,1392640,-0.06,0.024,0.584,20.561,85,248,6.7107343673706055,420,-0.04061743409911287,0.2,3.497156858444214,5.753333562240004,0.47037353515625,0.2,0.12620942,-3.4018121663481,0.6318792700767517,0.0001
0.557,0.588,1409024,-0.069,0.022,0.542,19.832,86,247,2.173858642578125,425,0.008767246124018165,0.2,4.806063175201416,5.946467052385645,0.3736347087378641,0.2,0.09179057,-3.4445674419403076,0.6201397180557251,0.0001
0.566,0.606,1425408,-0.058,0.024,0.571,19.468,87,248,5.738893747329712,430,-0.034125290051570015,0.2,2.317139148712158,5.647355558687471,0.44697013376383765,0.2,0.15407586,-3.4347307774413554,0.639684408903122,0.0001
0.6,0.583,1441792,-0.063,0.021,0.54,20.679,88,246,6.7299275398254395,435,-0.03994069167019916,0.2,6.004483222961426,5.882184774056077,0.477685546875,0.2,0.1261428,-3.44818777628243,0.6250644624233246,0.0001
0.517,0.562,1458176,-0.065,0.02,0.516,17.908,89,247,4.2567667961120605,440,-0.019719551801406252,0.2,2.9448325634002686,5.751022797499972,0.3883351293103448,0.2,0.11057765,-3.4480440616607666,0.6403160989284515,0.0001
0.521,0.567,1474560,-0.068,0.02,0.519,17.923,90,248,6.7662034034729,445,-0.03650063277309527,0.2,2.854971170425415,5.863281306996941,0.46727294921875,0.2,0.117159255,-3.425536708906293,0.630605548620224,0.0001
0.553,0.612,1490944,-0.062,0.021,0.572,19.037,91,248,6.806873798370361,450,-0.03693421483476413,0.2,5.989593505859375,5.898431757465005,0.490966796875,0.2,0.12710834,-3.406135344132781,0.6166979670524597,0.0001
0.56,0.603,1507328,-0.064,0.023,0.562,19.175,92,247,6.724290609359741,455,-0.038542847528879064,0.2,4.558441162109375,6.0072410520166155,0.46588134765625,0.2,0.119003564,-3.437308623641729,0.6147628426551819,0.0001
0.557,0.567,1523712,-0.065,0.019,0.52,19.359,93,247,6.381875991821289,460,-0.03536375422363743,0.2,5.189932823181152,6.11813327255628,0.47079366721854304,0.2,0.122765906,-3.416454889126961,0.6067847907543182,0.0001
0.565,0.566,1540096,-0.07,0.019,0.514,19.483,94,248,6.705838203430176,465,-0.03536915217555361,0.2,6.1239447593688965,5.817790308594704,0.4813720703125,0.2,0.123406276,-3.3992474868893625,0.627770721912384,0.0001
0.552,0.616,1556480,-0.061,0.022,0.577,19.208,95,248,6.747218370437622,470,-0.039804799266858024,0.2,3.2532029151916504,5.503782996162772,0.47196044921875,0.2,0.1245352,-3.398887122422457,0.6437665522098541,0.0001
0.521,0.538,1572864,-0.068,0.019,0.489,17.648,96,248,2.291865825653076,475,0.0068800449073654875,0.2,4.20251989364624,5.980219022324096,0.392515696347032,0.2,0.08391427,-3.3889282642434178,0.6204361915588379,0.0001
